Id Sample,Source,Date extraction,guid,Reference Genome,Plate name,Row ID,Column ID,,,
Mada-P221S ,Sputum,22/10/19,97c4bf15-66ce-4f79-ae60-be9286fe5984,R00000039,PR2832_CRyPTIC_Peru,G,5,,,
Mada-P222S ,Sputum,22/10/19,6772934b-ac38-4957-908f-1cdd8835be6c,R00000039,PR2832_CRyPTIC_Peru,H,5,,,
Mada-P223S ,Sputum,22/10/19,1f40a265-b281-47de-8f7a-4eef5a8eec69,R00000039,PR2832_CRyPTIC_Peru,A,6,,,
Mada-P224S ,Sputum,22/10/19,8c4438ac-b6ce-420a-b838-c200db2d843b,R00000039,PR2832_CRyPTIC_Peru,B,6,,,
Mada-P225S ,Sputum,15/10/19,9ff4a037-3cda-4a65-8f00-6edca8075ff2,R00000039,PR2832_CRyPTIC_Peru,C,6,,,
Mada-Pctrl5S ,Sputum,22/10/19,4f3bf00b-679a-4510-92e2-3e52ad0603ee,R00000039,PR2832_CRyPTIC_Peru,D,6,,,
Mada-P226S ,Sputum,21/8/19,fad80bbf-50e2-403f-beed-d40fafc5202f,R00000039,PR2832_CRyPTIC_Peru,E,6,,,
Mada-P227S ,Sputum,26/9/19,8dae51a4-9bae-4569-9642-ce05c20fcd6e,R00000039,PR2832_CRyPTIC_Peru,F,6,,,
Mada-P228S ,Sputum,26/9/19,d486523d-6470-419c-bd28-8a82b96de868,R00000039,PR2832_CRyPTIC_Peru,G,6,,,
Mada-P229S ,Sputum,8/10/19,70c860b6-efb4-4f4f-8c7c-6caf84c6eed6,R00000039,PR2832_CRyPTIC_Peru,H,6,,,
Mada-P230S ,Sputum,6/11/19,5b813967-7935-4a8f-a35a-eb2204f91822,R00000039,PR2832_CRyPTIC_Peru,A,7,,,
Mada-Pctrl6S ,Sputum,22/10/19,52eb387f-8e0d-46a7-a949-c9e78491e373,R00000039,PR2832_CRyPTIC_Peru,B,7,,,
Mada-P202C ,Culture ,8/12/20,f4c4a9b5-28b4-41b0-ab90-e587bd165918,R00000039,PR2832_CRyPTIC_Peru,C,7,,,
Mada-P203C ,Culture ,8/12/20,a6a7e288-a0ca-4e45-9c9f-a2e5351da00e,R00000039,PR2832_CRyPTIC_Peru,D,7,,,
Mada-P204C,Culture ,8/12/20,040733a8-87ea-4908-981a-0d69e19bbe57,R00000039,PR2832_CRyPTIC_Peru,E,7,,,
Mada-P205C ,Culture ,8/12/20,09393e96-60a6-4d18-8684-50186843d10f,R00000039,PR2832_CRyPTIC_Peru,F,7,,,
Mada-P209C,Culture ,8/12/20,33d21b1b-d5fd-4515-98b0-278e29ee9344,R00000039,PR2832_CRyPTIC_Peru,G,7,,,
Mada-P210C ,Culture ,8/12/20,62c04ee5-626a-40e9-86c4-93bb3e305554,R00000039,PR2832_CRyPTIC_Peru,H,7,,,
Mada-P211C,Culture ,8/12/20,f8c48e2f-3cff-4783-a20c-378ae5d190fd,R00000039,PR2832_CRyPTIC_Peru,A,8,,,
Mada-P212C ,Culture ,8/12/20,1665e672-20e6-4f30-9498-10c57eec84fc,R00000039,PR2832_CRyPTIC_Peru,B,8,,,
Mada-P214C ,Culture ,8/12/20,5d7b617c-c72a-49f9-9025-30a877362d21,R00000039,PR2832_CRyPTIC_Peru,C,8,,,
Mada-P215C ,Culture ,8/12/20,210ae29b-ea3e-459f-9b4b-785872f4f5df,R00000039,PR2832_CRyPTIC_Peru,D,8,,,
Mada-P216C ,Culture ,8/12/20,d8cc23af-1421-43f4-8923-c42218afe94b,R00000039,PR2832_CRyPTIC_Peru,E,8,,,
Mada-P217C ,Culture ,8/12/20,9c0391fe-3a82-463e-83ff-dca09dc8de01,R00000039,PR2832_CRyPTIC_Peru,F,8,,,
Mada-P218C ,Culture ,8/12/20,1b4ac33d-ae48-4138-b3e4-ff99c7919d98,R00000039,PR2832_CRyPTIC_Peru,G,8,,,
Mada-P221C ,Culture ,8/12/20,baa53d87-c794-43c7-b1f8-6843579aa2b6,R00000039,PR2832_CRyPTIC_Peru,H,8,,,
Mada-P222C ,Culture ,8/12/20,8a26b491-ada2-4150-aebf-39548bac2f4f,R00000039,PR2832_CRyPTIC_Peru,A,9,,,
Mada-P223C,Culture ,8/12/20,52ad31ff-ab11-4041-a8a3-5e3725550205,R00000039,PR2832_CRyPTIC_Peru,B,9,,,
